2025-12-16 19:12:52 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-16 19:12:52 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR3d_8_2048_rank30_fft_c2.yaml', sample_num=512, visualize=False)
2025-12-16 19:12:52 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-16 19:12:53 | INFO | root | Dataset: thubenchmark
2025-12-16 19:12:53 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-16 19:12:53 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-16 19:12:53 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-16 19:12:53 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-16 19:12:54 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-16 19:12:54 | INFO | root | 
2025-12-16 19:12:54 | INFO | root | Model: eegnet, fold: 0
2025-12-16 19:12:54 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-16 19:12:54 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-16 19:12:54 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 8192])
2025-12-16 19:12:55 | INFO | root | End purification for resolution 1024*1024, loss=0.018825719133019447, iterations=256
2025-12-16 19:12:55 | INFO | root | End purification for resolution 2048*2048, loss=0.005358916241675615, iterations=256
2025-12-16 19:12:56 | INFO | root | End purification for resolution 4096*4096, loss=0.0046208384446799755, iterations=512
2025-12-16 19:12:58 | INFO | root | End purification for resolution 8192*8192, loss=0.004425642546266317, iterations=1024
2025-12-16 19:12:58 | INFO | root | Training time: 3.513120651245117, loss: 0.004425642546266317, params_num: 23491
2025-12-16 19:12:58 | INFO | root | Purified data 0, shape: torch.Size([1, 64, 1500]), mse:0.21624548733234406, compression rate: 0.24469791666666665, 4.086671491209399x
2025-12-16 19:12:58 | INFO | root | 
2025-12-16 19:12:58 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 8192])
2025-12-16 19:12:58 | INFO | root | End purification for resolution 1024*1024, loss=0.01888304576277733, iterations=256
2025-12-16 19:12:58 | INFO | root | End purification for resolution 2048*2048, loss=0.005526491906493902, iterations=256
2025-12-16 19:12:59 | INFO | root | End purification for resolution 4096*4096, loss=0.0047816503793001175, iterations=512
2025-12-16 19:13:01 | INFO | root | End purification for resolution 8192*8192, loss=0.004528546240180731, iterations=1024
2025-12-16 19:13:01 | INFO | root | Training time: 3.474364757537842, loss: 0.004528546240180731, params_num: 23491
2025-12-16 19:13:01 | INFO | root | Purified data 1, shape: torch.Size([1, 64, 1500]), mse:0.22184473276138306, compression rate: 0.24469791666666665, 4.086671491209399x
2025-12-16 19:13:01 | INFO | root | 
2025-12-16 19:13:01 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 8192])
2025-12-16 19:13:02 | INFO | root | End purification for resolution 1024*1024, loss=0.01864500343799591, iterations=256
2025-12-16 19:13:02 | INFO | root | End purification for resolution 2048*2048, loss=0.006012245547026396, iterations=256
2025-12-16 19:13:03 | INFO | root | End purification for resolution 4096*4096, loss=0.0052862511947751045, iterations=512
2025-12-16 19:13:05 | INFO | root | End purification for resolution 8192*8192, loss=0.005080959759652615, iterations=1024
2025-12-16 19:13:05 | INFO | root | Training time: 3.5242910385131836, loss: 0.005080959759652615, params_num: 23491
2025-12-16 19:13:05 | INFO | root | Purified data 2, shape: torch.Size([1, 64, 1500]), mse:0.2473260909318924, compression rate: 0.24469791666666665, 4.086671491209399x
2025-12-16 19:13:05 | INFO | root | 
2025-12-16 19:13:05 | INFO | root | original data shape: torch.Size([1, 64, 1500]), Resized data shape: torch.Size([10, 11, 8192])
2025-12-16 19:13:05 | INFO | root | End purification for resolution 1024*1024, loss=0.018540676683187485, iterations=256
2025-12-16 19:13:05 | INFO | root | End purification for resolution 2048*2048, loss=0.004210016690194607, iterations=256
2025-12-16 19:13:06 | INFO | root | End purification for resolution 4096*4096, loss=0.003353261388838291, iterations=512
2025-12-16 19:13:08 | INFO | root | End purification for resolution 8192*8192, loss=0.0031886787619441748, iterations=1024
2025-12-16 19:13:08 | INFO | root | Training time: 3.229775905609131, loss: 0.0031886787619441748, params_num: 23491
2025-12-16 19:13:08 | INFO | root | Purified data 3, shape: torch.Size([1, 64, 1500]), mse:0.1550242304801941, compression rate: 0.24469791666666665, 4.086671491209399x
2025-12-16 19:13:08 | INFO | root | 
